;	??? ??? ????		
;	2005/07/08		
;			
;			
;	???	ID	???(MS)
	??? ??	4010001	5000 
	?? ??	4010002	0 
	???? ??	4010003	0 
	???? ??	4010004	0 
	?????? ??	4010005	0 
	?? ??	4020001	1 
	????? ??	4020002	1 
	??? ??	4020003	1 
	???? ??	4020004	1 
	??? ??	4020005	3000	???? ???	4030001	100000 
	???II	4010020	0 
	???II	4010021	0 
	???II	4010024	0 
	???????	4010030	0 
	???????	4010031	0 
	???????	4010034	0 
	????II	4010040	0 
	????II	4010041	0 
	????II	4010044	0 
	???II	4020020	2000 
	???II	4020021	2000 
	???II	4020024	2000 
	????II	4020030	2000 
	????II	4020031	2000 
	????II	4020034	2000 
	???II	4020040	2000 
	???II	4020041	2000 
	???II	4020044	2000 
	???	4050801	10000
	???	4050804	10000
	???	4050807	10000
	??	4050901	10000
	??	4050904	10000
	??	4050907	10000
	??KX	4051001	10000
	??KX	4051004	10000
	??KX	4051007	10000
	?????	4051101	10000
	?????	4051104	10000
	?????	4051107	10000
	?????	4051201	10000
	?????	4051204	10000
	?????	4051207	10000
	??????	4051301	10000
	??????	4051304	10000
	??????	4051307	10000
	??????	4051401	10000
	??????	4051404	10000
	??????	4051407	10000
	????	4051501	10000
	????	4051504	10000
	????	4051507	10000
	?????	4051601	10000
	?????	4051604	10000
	?????	4051607	10000
	????	4051701	10000
	????	4051704	10000
	????	4051707	10000
	????	4051801	10000
	????	4051804	10000
	????	4051807	10000
	?????	4051901	10000
	?????	4051904	10000
	?????	4051907	10000
	????	4052201	10000
	????	4052204	10000
	????	4052207	10000
	????	4052101	10000
	????	4052104	10000
	????	4052107	10000
	????	4052001	10000
	????	4052004	10000
	????	4052007	10000
